,heapsort_notinplace,heapsort_inplace,mergesort_notinplace,mergesort_inplace,quicksort_notinplace,quicksort_inplace,python_sort
105,0.00021820000000616346,0.00021249999999639613,0.0002562999999966564,0.00017680000000019902,8.980000000047283e-05,5.869999999985609e-05,6.400000000184036e-06
106,0.00021820000000616346,0.00021249999999639613,0.0002562999999966564,0.00017680000000019902,8.980000000047283e-05,5.869999999985609e-05,6.400000000184036e-06
107,0.00021820000000616346,0.00021249999999639613,0.0002562999999966564,0.00017680000000019902,8.980000000047283e-05,5.869999999985609e-05,6.400000000184036e-06
108,0.00021820000000616346,0.00021249999999639613,0.0002562999999966564,0.00017680000000019902,8.980000000047283e-05,5.869999999985609e-05,6.400000000184036e-06
109,0.00021820000000616346,0.00021249999999639613,0.0002562999999966564,0.00017680000000019902,8.980000000047283e-05,5.869999999985609e-05,6.400000000184036e-06
110,0.00021820000000616346,0.00021249999999639613,0.0002562999999966564,0.00017680000000019902,8.980000000047283e-05,5.869999999985609e-05,6.400000000184036e-06
111,0.00021820000000616346,0.00021249999999639613,0.0002562999999966564,0.00017680000000019902,8.980000000047283e-05,5.869999999985609e-05,6.400000000184036e-06
112,0.00021820000000616346,0.00021249999999639613,0.0002562999999966564,0.00017680000000019902,8.980000000047283e-05,5.869999999985609e-05,6.400000000184036e-06
113,0.00021820000000616346,0.00021249999999639613,0.0002562999999966564,0.00017680000000019902,8.980000000047283e-05,5.869999999985609e-05,6.400000000184036e-06
114,0.00021820000000616346,0.00021249999999639613,0.0002562999999966564,0.00017680000000019902,8.980000000047283e-05,5.869999999985609e-05,6.400000000184036e-06
115,0.00021820000000616346,0.00021249999999639613,0.0002562999999966564,0.00017680000000019902,8.980000000047283e-05,5.869999999985609e-05,6.400000000184036e-06
116,0.00021820000000616346,0.00021249999999639613,0.0002562999999966564,0.00017680000000019902,8.980000000047283e-05,5.869999999985609e-05,6.400000000184036e-06
117,0.00021820000000616346,0.00021249999999639613,0.0002562999999966564,0.00017680000000019902,8.980000000047283e-05,5.869999999985609e-05,6.400000000184036e-06
118,0.00021820000000616346,0.00021249999999639613,0.0002562999999966564,0.00017680000000019902,8.980000000047283e-05,5.869999999985609e-05,6.400000000184036e-06
119,0.00021820000000616346,0.00021249999999639613,0.0002562999999966564,0.00017680000000019902,8.980000000047283e-05,5.869999999985609e-05,6.400000000184036e-06
120,0.0002594000000044616,0.00026240000000399277,0.00028679999999781103,0.00022150000000031866,0.00011870000000069325,0.0001222999999999086,8.599999999914232e-06
121,0.0002594000000044616,0.00026240000000399277,0.00028679999999781103,0.00022150000000031866,0.00011870000000069325,0.0001222999999999086,8.599999999914232e-06
122,0.0002594000000044616,0.00026240000000399277,0.00028679999999781103,0.00022150000000031866,0.00011870000000069325,0.0001222999999999086,8.599999999914232e-06
123,0.0002594000000044616,0.00026240000000399277,0.00028679999999781103,0.00022150000000031866,0.00011870000000069325,0.0001222999999999086,8.599999999914232e-06
124,0.0002594000000044616,0.00026240000000399277,0.00028679999999781103,0.00022150000000031866,0.00011870000000069325,0.0001222999999999086,8.599999999914232e-06
125,0.0002594000000044616,0.00026240000000399277,0.00028679999999781103,0.00022150000000031866,0.00011870000000069325,0.0001222999999999086,8.599999999914232e-06
126,0.0002594000000044616,0.00026240000000399277,0.00028679999999781103,0.00022150000000031866,0.00011870000000069325,0.0001222999999999086,8.599999999914232e-06
127,0.0002594000000044616,0.00026240000000399277,0.00028679999999781103,0.00022150000000031866,0.00011870000000069325,0.0001222999999999086,8.599999999914232e-06
128,0.0002594000000044616,0.00026240000000399277,0.00028679999999781103,0.00022150000000031866,0.00011870000000069325,0.0001222999999999086,8.599999999914232e-06
129,0.0002594000000044616,0.00026240000000399277,0.00028679999999781103,0.00022150000000031866,0.00011870000000069325,0.0001222999999999086,8.599999999914232e-06
130,0.0002594000000044616,0.00026240000000399277,0.00028679999999781103,0.00022150000000031866,0.00011870000000069325,0.0001222999999999086,8.599999999914232e-06
131,0.0002594000000044616,0.00026240000000399277,0.00028679999999781103,0.00022150000000031866,0.00011870000000069325,0.0001222999999999086,8.599999999914232e-06
132,0.0002594000000044616,0.00026240000000399277,0.00028679999999781103,0.00022150000000031866,0.00011870000000069325,0.0001222999999999086,8.599999999914232e-06
133,0.0002594000000044616,0.00026240000000399277,0.00028679999999781103,0.00022150000000031866,0.00011870000000069325,0.0001222999999999086,8.599999999914232e-06
134,0.0002594000000044616,0.00026240000000399277,0.00028679999999781103,0.00022150000000031866,0.00011870000000069325,0.0001222999999999086,8.599999999914232e-06
